id,title,author,series,position,subgenre,spice
seed-0001,A Court of Thorns and Roses,Sarah J. Maas,ACOTAR,1,Romantasy,4
seed-0002,A Court of Mist and Fury,Sarah J. Maas,ACOTAR,2,Romantasy,4
seed-0003,A Court of Wings and Ruin,Sarah J. Maas,ACOTAR,3,Romantasy,0
seed-0004,A Court of Frost and Starlight,Sarah J. Maas,ACOTAR,4,Romantasy,0
seed-0005,A Court of Silver Flames,Sarah J. Maas,ACOTAR,5,Romantasy,0
seed-0006,Assassins Blade,Sarah J. Maas,,0,Romantasy,0
seed-0007,Throne of Glass,Sarah J. Maas,Throne of Glass,1,Romantasy,3
seed-0008,Crown of Midnight,Sarah J. Maas,Throne of Glass,2,Romantasy,0
seed-0009,Heir of Fire,Sarah J. Maas,Throne of Glass,3,Romantasy,0
seed-0010,Queen of Shadows,Sarah J. Maas,Throne of Glass,4,Romantasy,0
seed-0011,Empire of Storms,Sarah J. Maas,Throne of Glass,5,Romantasy,0
seed-0012,Tower of Dawn,Sarah J. Maas,Throne of Glass,6,Romantasy,0
seed-0013,Kingdom of Ash,Sarah J. Maas,Throne of Glass,7,Romantasy,0
seed-0014,The Never King,Nikki St. Crowe,Vicious Lost Boys,1,Romantasy,0
seed-0015,Mile High,Liz Tomforde,,1,Romance,0
seed-0016,The Right Move,Liz Tomforde,,2,Romance,0
seed-0017,Caught Up (Audiobook),Liz Tomforde,,3,Romance,0
seed-0018,Play Along,Liz Tomforde,Windy City,4,Romance,0
seed-0019,Rewind it Back,Liz Tomforde,,5,Romance,0
seed-0020,A Tribute of Fire,Sariah Wilson,The Eye of the Goddess,1,Romantasy,0
seed-0021,Ruthless Rival,L.J. Shen,Cruel Castaways,1,Dark Romance,0
seed-0022,"Your Knife, My Heart",K.M. Moronova,Dark Forces,2,Dark Romance,0
seed-0023,"My Blade, Your Back",K.M. Moronova,Dark Forces,3,Dark Romance,0
seed-0024,One Pucked Up Pack,Sarah Blue,Pucked Up Omegaverse,1,Romance,0
seed-0025,Feathers So Vicious,Liv Zander,,1,Romantasy,0
seed-0026,Shadows So Cruel,Liv Zander,,2,Romantasy,0
seed-0027,King of Wrath,Ana Huang,Kings of Sin,1,Dark Romance,4
seed-0028,King of Pride,Ana Huang,Kings of Sin,2,Dark Romance,0
seed-0029,King of Envy,Ana Huang,Kings of Sin,5,Romance,0
seed-0030,Anathema,Keri Lake,,1,Romantasy,0
seed-0031,Spark of the Everflame,Penn Cole,The Kindred's Curse Saga,1,Romantasy,0
seed-0032,Glow of the Everflame,Penn Cole,The Kindred's Curse,2,Romantasy,0
seed-0033,Heat of the Everflame,Penn Cole,The Kindred's Curse,3,Romantasy,0
seed-0034,The Ritual,Shantel Tessier,LORDS,1,Romance,5
seed-0035,The Sinner,Shantel Tessier,LORDS,2,Romance,0
